immatriculation,marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix
1532 XR 95,Seat,Toledo 1.6,102,longue,5,5,bleu,false,18880
6713 OW 57,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
8791 TZ 28,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
5137 HS 53,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
7782 PQ 51,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
8521 VW 93,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,blanc,false,31790
6569 FE 86,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,rouge,false,31790
3002 CN 25,Volvo,S80 T6,272,tr�s longue,5,5,bleu,false,50500
2178 QN 96,Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,false,22350
7632 ZR 65,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200
3174 PL 70,Fiat,Croma 2.2,147,longue,5,5,noir,false,24780
423 JT 25,BMW,M5,507,tr�s longue,5,5,blanc,true,66360
9979 PR 52,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,bleu,false,49200
8928 PT 88,Audi,A2 1.4,75,courte,5,5,gris,false,18310
6283 AQ 92,Saab,9.3 1.8T,150,longue,5,5,rouge,false,38600
3612 FO 89,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,bleu,true,34440
8672 NI 48,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
8911 OP 82,Fiat,Croma 2.2,147,longue,5,5,bleu,true,17346
6117 XY 65,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
8334 YN 48,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
2154 MO 64,BMW,M5,507,tr�s longue,5,5,noir,true,66360
609 YB 61,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,gris,true,34440
3360 HK 95,Volvo,S80 T6,272,tr�s longue,5,5,gris,false,50500
6401 AL 27,Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,false,12200
3657 QT 46,Volvo,S80 T6,272,tr�s longue,5,5,rouge,false,50500
3002 NM 44,Nissan,Maxima 3.0 V6,200,tr�s longue,5,5,rouge,false,30000
2665 DU 50,Mercedes,S500,306,tr�s longue,5,5,bleu,false,101300
5274 CF 39,Renault,Laguna 2.0T,170,longue,5,5,noir,false,27300
711 BB 50,Volvo,S80 T6,272,tr�s longue,5,5,bleu,false,50500
8672 XD 67,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
5132 TI 48,Nissan,Maxima 3.0 V6,200,tr�s longue,5,5,rouge,false,30000
5213 KC 17,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
4562 ZB 14,Renault,Laguna 2.0T,170,longue,5,5,bleu,false,27300
9958 YS 14,Peugeot,1007 1.4,75,courte,5,5,noir,true,9625
7589 UR 85,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200
4447 WS 87,BMW,M5,507,tr�s longue,5,5,rouge,false,94800
2949 PS 22,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,gris,false,31790
2817 NZ 52,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
6722 RO 86,Mercedes,S500,306,tr�s longue,5,5,bleu,true,70910
3220 ZP 12,BMW,M5,507,tr�s longue,5,5,bleu,false,94800
5054 FW 56,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
1429 OE 78,Nissan,Almera 1.8,115,moyenne,5,5,bleu,false,16450
9582 IU 67,Peugeot,1007 1.4,75,courte,5,5,rouge,true,9625
7121 HH 34,Renault,Laguna 2.0T,170,longue,5,5,noir,false,27300
185 OS 93,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
1863 IW 98,BMW,M5,507,tr�s longue,5,5,noir,true,66360
1990 YF 17,BMW,M5,507,tr�s longue,5,5,noir,false,94800
9802 OC 64,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
9058 XO 88,Renault,Megane 2.0 16V,135,moyenne,5,5,gris,false,22350
5900 RX 76,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
9127 DA 61,BMW,M5,507,tr�s longue,5,5,blanc,false,94800
2468 SN 14,Ford,Mondeo 1.8,125,longue,5,5,rouge,false,23900
4598 SZ 25,Peugeot,1007 1.4,75,courte,5,5,blanc,false,13750
7976 DP 42,Fiat,Croma 2.2,147,longue,5,5,bleu,true,17346
2718 DN 51,Mercedes,A200,136,moyenne,5,5,noir,false,25900
5155 GU 70,BMW,M5,507,tr�s longue,5,5,gris,true,66360
3057 XF 69,Volvo,S80 T6,272,tr�s longue,5,5,noir,false,50500
9936 SB 23,Renault,Laguna 2.0T,170,longue,5,5,rouge,false,27300
2565 WE 55,BMW,M5,507,tr�s longue,5,5,gris,true,66360
7804 NM 50,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
2321 CB 64,Saab,9.3 1.8T,150,longue,5,5,bleu,true,27020
7559 YF 35,Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300
2315 RK 85,Volvo,S80 T6,272,tr�s longue,5,5,gris,false,50500
9859 TG 14,Seat,Toledo 1.6,102,longue,5,5,blanc,false,18880
3664 XL 20,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
7011 UN 90,Saab,9.3 1.8T,150,longue,5,5,noir,false,38600
9964 MF 33,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
1997 CB 23,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
8365 TX 19,Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300
8072 ZH 14,Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,false,22350
4004 ZN 90,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,true,16029
286 QM 93,BMW,120i,150,moyenne,5,5,gris,true,25060
8067 UF 20,Peugeot,1007 1.4,75,courte,5,5,noir,true,9625
9531 VX 63,BMW,M5,507,tr�s longue,5,5,noir,false,94800
8239 DC 17,Volvo,S80 T6,272,tr�s longue,5,5,gris,true,35350
7515 GD 38,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,true,16029
9678 PF 72,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
8943 IF 51,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
4458 ZW 84,Daihatsu,Cuore 1.0,58,courte,5,3,noir,false,8850
1800 DH 24,BMW,M5,507,tr�s longue,5,5,blanc,false,94800
6093 EX 62,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200
442 GE 49,Lancia,Ypsilon 1.4 16V,90,courte,5,3,noir,true,9450
7954 LE 81,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
1050 KE 79,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200
42 GZ 39,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
8272 VD 49,Audi,A2 1.4,75,courte,5,5,gris,true,12817
6516 IT 62,Ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900
9557 HL 66,Daihatsu,Cuore 1.0,58,courte,5,3,noir,false,8850
4210 DR 98,Daihatsu,Cuore 1.0,58,courte,5,3,gris,false,8850
6021 BT 92,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
1034 LT 87,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,blanc,true,34440
8190 WW 73,Renault,Laguna 2.0T,170,longue,5,5,gris,false,27300
8499 PW 61,BMW,M5,507,tr�s longue,5,5,gris,true,66360
2815 QS 31,Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300
4515 RC 32,BMW,M5,507,tr�s longue,5,5,rouge,false,94800
6153 WX 79,Saab,9.3 1.8T,150,longue,5,5,rouge,true,27020
6679 SK 82,BMW,M5,507,tr�s longue,5,5,rouge,true,66360
4737 SN 51,Mercedes,A200,136,moyenne,5,5,noir,false,25900
9323 NF 82,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200
2203 UM 64,Mercedes,S500,306,tr�s longue,5,5,bleu,false,101300
9629 OY 47,Renault,Laguna 2.0T,170,longue,5,5,gris,false,27300
1872 SF 97,Audi,A2 1.4,75,courte,5,5,noir,false,18310
5182 LY 72,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,gris,false,31790
6057 TK 41,Ford,Mondeo 1.8,125,longue,5,5,bleu,true,16730
4864 EG 56,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,blanc,true,34440
9985 FT 34,Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780
8520 QD 58,Fiat,Croma 2.2,147,longue,5,5,gris,false,24780
5926 XE 98,Kia,Picanto 1.1,65,courte,5,5,bleu,false,8990
9245 TF 96,Mercedes,S500,306,tr�s longue,5,5,bleu,true,70910
2695 UX 21,BMW,M5,507,tr�s longue,5,5,rouge,true,66360
6551 JB 47,Volvo,S80 T6,272,tr�s longue,5,5,blanc,true,35350
4055 BN 84,BMW,M5,507,tr�s longue,5,5,blanc,false,94800
2064 FZ 42,BMW,M5,507,tr�s longue,5,5,blanc,false,94800
664 IV 10,Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,true,15644
6742 JS 45,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
465 WW 30,Dacia,Logan 1.6 MPI,90,moyenne,5,5,noir,false,7500
9094 VR 26,Peugeot,1007 1.4,75,courte,5,5,noir,false,13750
8856 ZK 20,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200
4194 YN 19,Mercedes,S500,306,tr�s longue,5,5,rouge,true,70910
3320 YE 35,Audi,A2 1.4,75,courte,5,5,gris,false,18310
1788 FK 90,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,blanc,false,49200
5756 BP 33,BMW,M5,507,tr�s longue,5,5,gris,false,94800
7512 KA 78,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970
1601 UU 86,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,false,12200
2525 XR 68,Peugeot,1007 1.4,75,courte,5,5,blanc,false,13750
135 VF 95,Mercedes,S500,306,tr�s longue,5,5,noir,false,101300
9268 LV 86,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,false,22900
9248 BE 59,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
727 WJ 98,Mercedes,S500,306,tr�s longue,5,5,blanc,false,101300
2959 XO 53,Audi,A2 1.4,75,courte,5,5,noir,false,18310
1843 LS 21,BMW,M5,507,tr�s longue,5,5,noir,false,94800
2058 BE 41,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970
2806 PS 31,Volvo,S80 T6,272,tr�s longue,5,5,gris,false,50500
6313 OH 90,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,true,16029
9136 LR 10,Fiat,Croma 2.2,147,longue,5,5,rouge,false,24780
4676 YQ 61,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
5174 JA 47,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
6871 BT 51,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,gris,false,49200
1226 CB 11,Saab,9.3 1.8T,150,longue,5,5,bleu,true,27020
8769 XQ 15,Mercedes,S500,306,tr�s longue,5,5,gris,true,70910
6867 NP 21,Audi,A2 1.4,75,courte,5,5,rouge,true,12817
3296 VM 21,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,true,8540
9947 VJ 95,Volvo,S80 T6,272,tr�s longue,5,5,bleu,false,50500
7350 DI 69,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,rouge,false,49200
7548 XY 50,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,bleu,false,49200
279 QV 64,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
6882 UU 44,Saab,9.3 1.8T,150,longue,5,5,blanc,true,27020
5064 NC 20,Renault,Megane 2.0 16V,135,moyenne,5,5,gris,false,22350
3595 KW 50,Volvo,S80 T6,272,tr�s longue,5,5,rouge,false,50500
4225 FP 78,Daihatsu,Cuore 1.0,58,courte,5,3,noir,false,8850
4489 TS 50,BMW,M5,507,tr�s longue,5,5,gris,true,66360
4187 FJ 37,Audi,A2 1.4,75,courte,5,5,gris,false,18310
4606 CX 21,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
9587 GL 93,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
1806 DT 59,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
2452 QO 61,Saab,9.3 1.8T,150,longue,5,5,blanc,true,27020
2000 YH 42,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
1840 GX 25,Saab,9.3 1.8T,150,longue,5,5,rouge,true,27020
3757 QY 44,Peugeot,1007 1.4,75,courte,5,5,bleu,false,13750
1432 HW 96,Audi,A2 1.4,75,courte,5,5,noir,false,18310
3871 MF 27,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970
8766 NT 62,Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780
5427 FC 71,Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,false,22350
26 JE 67,Seat,Toledo 1.6,102,longue,5,5,rouge,false,18880
1367 YK 18,Saab,9.3 1.8T,150,longue,5,5,blanc,true,27020
5010 IZ 32,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
6635 CZ 45,BMW,M5,507,tr�s longue,5,5,bleu,true,66360
2415 CL 92,Mercedes,S500,306,tr�s longue,5,5,gris,false,101300
7284 WH 28,Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,false,22350
6494 SS 78,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,gris,false,31790
7412 YP 81,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
8860 SE 55,Mercedes,S500,306,tr�s longue,5,5,bleu,true,70910
211 YS 17,Renault,Laguna 2.0T,170,longue,5,5,gris,false,27300
9225 SD 65,BMW,M5,507,tr�s longue,5,5,bleu,false,94800
457 HY 94,BMW,M5,507,tr�s longue,5,5,bleu,true,66360
4054 IP 20,Mercedes,S500,306,tr�s longue,5,5,bleu,true,70910
1184 FH 61,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
9238 RR 73,Audi,A2 1.4,75,courte,5,5,gris,false,18310
6790 CZ 53,Saab,9.3 1.8T,150,longue,5,5,blanc,false,38600
4176 XO 28,Renault,Megane 2.0 16V,135,moyenne,5,5,gris,false,22350
9096 AS 51,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970
5722 DQ 28,Fiat,Croma 2.2,147,longue,5,5,bleu,false,24780
9672 CP 82,Nissan,Primera 1.6,109,longue,5,5,gris,false,18650
5535 HZ 25,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
4456 ZH 89,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
9162 HI 15,Nissan,Primera 1.6,109,longue,5,5,blanc,false,18650
7516 TU 98,Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,false,22350
8712 AP 40,Fiat,Croma 2.2,147,longue,5,5,rouge,true,17346
6860 RX 29,BMW,M5,507,tr�s longue,5,5,rouge,true,66360
3882 ZN 12,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
1886 JU 16,Volvo,S80 T6,272,tr�s longue,5,5,blanc,false,50500
1024 BR 63,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
3007 OU 50,Mercedes,S500,306,tr�s longue,5,5,blanc,false,101300
7166 HR 35,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,false,22900
7595 QK 59,Audi,A2 1.4,75,courte,5,5,gris,true,12817
2106 QH 88,Audi,A2 1.4,75,courte,5,5,noir,true,12817
1504 EJ 67,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
6587 PI 42,Peugeot,1007 1.4,75,courte,5,5,gris,false,13750
6463 BV 39,Volvo,S80 T6,272,tr�s longue,5,5,rouge,false,50500
4683 CA 41,Daihatsu,Cuore 1.0,58,courte,5,3,blanc,false,8850
1466 KC 55,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
1686 BR 60,BMW,M5,507,tr�s longue,5,5,blanc,false,94800
8167 TY 95,Volkswagen,New Beatle 1.8,110,moyenne,5,5,gris,false,26630
2424 SE 29,Kia,Picanto 1.1,65,courte,5,5,blanc,false,8990
9099 RO 53,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
1571 AR 43,Volvo,S80 T6,272,tr�s longue,5,5,noir,true,35350
3198 LT 60,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
7014 YL 26,Mini,Copper 1.6 16V,115,courte,5,5,blanc,true,12740
5805 CB 28,Audi,A2 1.4,75,courte,5,5,noir,true,12817
742 EG 69,Volvo,S80 T6,272,tr�s longue,5,5,noir,false,50500
8035 GY 25,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
1816 NL 46,Audi,A2 1.4,75,courte,5,5,gris,true,12817
4638 IA 73,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,bleu,false,49200
8676 OF 66,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
4512 RO 16,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,blanc,true,34440
3379 MJ 18,Peugeot,1007 1.4,75,courte,5,5,noir,true,9625
4123 LL 41,Saab,9.3 1.8T,150,longue,5,5,blanc,true,27020
690 CE 33,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
8163 KU 80,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,gris,false,49200
2557 QL 63,Daihatsu,Cuore 1.0,58,courte,5,3,blanc,false,8850
3616 AZ 56,Seat,Toledo 1.6,102,longue,5,5,blanc,false,18880
1092 HK 12,Mercedes,S500,306,tr�s longue,5,5,noir,false,101300
6760 XW 52,Volvo,S80 T6,272,tr�s longue,5,5,gris,false,50500
3032 YY 93,Audi,A2 1.4,75,courte,5,5,gris,false,18310
937 FJ 57,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
6334 NT 95,Fiat,Croma 2.2,147,longue,5,5,blanc,true,17346
8908 NX 69,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
8970 RE 25,Audi,A2 1.4,75,courte,5,5,noir,false,18310
962 TG 49,Volvo,S80 T6,272,tr�s longue,5,5,gris,false,50500
9797 MW 20,Nissan,Primera 1.6,109,longue,5,5,noir,false,18650
5195 VU 64,Volvo,S80 T6,272,tr�s longue,5,5,bleu,false,50500
4920 JT 17,Audi,A2 1.4,75,courte,5,5,noir,false,18310
6106 QN 97,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970
8814 AP 48,Lancia,Ypsilon 1.4 16V,90,courte,5,3,bleu,false,13500
738 NB 42,Saab,9.3 1.8T,150,longue,5,5,noir,false,38600
8933 YN 86,Nissan,Maxima 3.0 V6,200,tr�s longue,5,5,blanc,false,30000
9883 IT 15,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
221 SR 28,BMW,M5,507,tr�s longue,5,5,rouge,false,94800
3325 MK 93,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,noir,true,34440
2919 OJ 40,Mercedes,S500,306,tr�s longue,5,5,noir,true,70910
1858 BR 60,Peugeot,1007 1.4,75,courte,5,5,bleu,false,13750
1078 WA 43,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970
5112 WQ 47,Saab,9.3 1.8T,150,longue,5,5,rouge,true,27020
4769 LF 28,Seat,Toledo 1.6,102,longue,5,5,blanc,false,18880
6173 FW 41,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970
8462 FL 31,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,blanc,false,49200
513 VU 90,Mercedes,S500,306,tr�s longue,5,5,gris,true,70910
2568 PQ 89,Audi,A2 1.4,75,courte,5,5,gris,false,18310
8918 MG 32,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970
7482 KA 59,Peugeot,1007 1.4,75,courte,5,5,blanc,false,13750
611 QL 17,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,blanc,false,49200
6562 NP 66,Volvo,S80 T6,272,tr�s longue,5,5,gris,false,50500
9724 EK 23,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,false,22900
5134 FW 44,Audi,A2 1.4,75,courte,5,5,noir,true,12817
7755 AN 51,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
1697 DX 95,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,noir,false,49200
2490 NI 54,BMW,M5,507,tr�s longue,5,5,blanc,false,94800
6510 KP 33,Volvo,S80 T6,272,tr�s longue,5,5,bleu,true,35350
2742 VO 18,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970
9323 DI 36,Audi,A2 1.4,75,courte,5,5,noir,false,18310
8813 SC 54,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
4304 XZ 42,Ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900
9680 RH 26,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
4309 SF 82,Fiat,Croma 2.2,147,longue,5,5,rouge,false,24780
7473 UX 57,Audi,A2 1.4,75,courte,5,5,gris,false,18310
7623 QP 36,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,true,16029
9254 RN 54,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,rouge,false,49200
3522 QS 55,BMW,M5,507,tr�s longue,5,5,gris,false,94800
3332 NW 37,Mercedes,S500,306,tr�s longue,5,5,rouge,true,70910
3575 IH 86,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,blanc,false,49200
259 QS 67,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970
4840 KG 45,BMW,M5,507,tr�s longue,5,5,blanc,true,66360
9888 VG 90,Peugeot,1007 1.4,75,courte,5,5,gris,false,13750
2983 EE 92,Audi,A2 1.4,75,courte,5,5,gris,false,18310
6166 VI 74,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
7706 WP 38,BMW,M5,507,tr�s longue,5,5,blanc,true,66360
8100 OJ 51,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
2105 LI 64,Audi,A2 1.4,75,courte,5,5,gris,false,18310
3930 QV 75,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,false,22900
1086 FJ 21,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,true,16029
3754 QP 40,Renault,Laguna 2.0T,170,longue,5,5,rouge,false,27300
611 EY 77,Audi,A2 1.4,75,courte,5,5,rouge,true,12817
251 AY 97,BMW,120i,150,moyenne,5,5,gris,true,25060
3415 BS 76,Ford,Mondeo 1.8,125,longue,5,5,rouge,true,16730
6065 QY 13,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,true,8540
6105 EL 95,Nissan,Maxima 3.0 V6,200,tr�s longue,5,5,gris,false,30000
2998 KM 79,Seat,Toledo 1.6,102,longue,5,5,gris,false,18880
7499 LV 18,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970
5252 ZM 26,BMW,M5,507,tr�s longue,5,5,gris,true,66360
2415 CQ 96,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
9656 PT 40,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,false,22900
7853 VE 58,Nissan,Primera 1.6,109,longue,5,5,gris,false,18650
5232 HI 78,Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,false,12200
3099 VU 36,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
7757 EJ 47,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
1618 UY 37,Seat,Toledo 1.6,102,longue,5,5,bleu,false,18880
450 KO 45,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
0 ZS 19,BMW,M5,507,tr�s longue,5,5,gris,false,94800
9906 LN 48,Saab,9.3 1.8T,150,longue,5,5,blanc,true,27020
4128 OU 63,Lancia,Ypsilon 1.4 16V,90,courte,5,3,noir,false,13500
6293 FX 85,Saab,9.3 1.8T,150,longue,5,5,noir,false,38600
3795 IM 43,BMW,M5,507,tr�s longue,5,5,bleu,true,66360
3955 WB 54,Peugeot,1007 1.4,75,courte,5,5,noir,false,13750
5593 NF 47,BMW,M5,507,tr�s longue,5,5,gris,false,94800
310 ZH 35,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
7240 RI 34,Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,true,15644
7228 VP 45,Fiat,Croma 2.2,147,longue,5,5,gris,false,24780
2084 EV 82,BMW,M5,507,tr�s longue,5,5,gris,true,66360
1283 YX 90,BMW,M5,507,tr�s longue,5,5,blanc,false,94800
3524 DQ 23,Mercedes,A200,136,moyenne,5,5,blanc,true,18130
955 DQ 17,Volvo,S80 T6,272,tr�s longue,5,5,gris,false,50500
7059 LX 84,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
9271 MB 93,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
7804 PF 24,Peugeot,1007 1.4,75,courte,5,5,bleu,false,13750
5371 XX 19,Saab,9.3 1.8T,150,longue,5,5,blanc,true,27020
2109 SR 22,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,rouge,false,49200
367 PG 28,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
9540 SY 89,BMW,M5,507,tr�s longue,5,5,noir,false,94800
1850 KI 56,BMW,M5,507,tr�s longue,5,5,rouge,true,66360
1460 MS 63,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
3799 PS 34,Mercedes,S500,306,tr�s longue,5,5,noir,true,70910
4033 QA 25,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,gris,false,49200
7043 MP 17,Audi,A2 1.4,75,courte,5,5,noir,false,18310
3183 KV 25,Nissan,Primera 1.6,109,longue,5,5,blanc,false,18650
3980 ZO 48,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
8694 ID 21,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
739 ZW 68,BMW,M5,507,tr�s longue,5,5,bleu,true,66360
7504 YP 39,Renault,Megane 2.0 16V,135,moyenne,5,5,noir,true,15644
2762 VF 43,Nissan,Maxima 3.0 V6,200,tr�s longue,5,5,rouge,false,30000
8057 QL 93,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,false,22900
4375 SA 22,Nissan,Maxima 3.0 V6,200,tr�s longue,5,5,bleu,false,30000
7550 JR 55,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
9583 KW 44,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,false,22900
2046 TC 62,BMW,M5,507,tr�s longue,5,5,rouge,false,94800
4539 QS 40,BMW,M5,507,tr�s longue,5,5,rouge,false,94800
7580 RB 23,Mercedes,S500,306,tr�s longue,5,5,noir,true,70910
4133 WA 88,Volvo,S80 T6,272,tr�s longue,5,5,bleu,true,35350
7930 WX 41,Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300
7531 ZE 61,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,rouge,false,31790
1390 SO 55,Fiat,Croma 2.2,147,longue,5,5,bleu,true,17346
9179 YR 28,Volvo,S80 T6,272,tr�s longue,5,5,rouge,false,50500
8784 SS 29,Seat,Toledo 1.6,102,longue,5,5,blanc,false,18880
7493 JS 33,Saab,9.3 1.8T,150,longue,5,5,rouge,false,38600
7658 LF 36,Nissan,Primera 1.6,109,longue,5,5,bleu,false,18650
